category,taxonomy_category,term,source_field,frequency,example_count
Race_ethnicity,group_identifier,tanisha jefferson,answer_info.ans1,16,16
Race_ethnicity,group_identifier,tanisha jefferson,answer_info.ans2,16,16
Race_ethnicity,group_identifier,tanisha mosley,answer_info.ans1,16,16
Race_ethnicity,group_identifier,tanisha washington,answer_info.ans0,16,16
Race_ethnicity,group_identifier,terrell mosley,answer_info.ans2,16,16
Race_ethnicity,group_identifier,trevon jefferson,answer_info.ans1,16,16
Race_ethnicity,group_identifier,trevon mosley,answer_info.ans0,16,16
Race_ethnicity,group_identifier,trevon washington,answer_info.ans2,16,16
Race_ethnicity,group_identifier,tyrone jefferson,answer_info.ans1,16,16
Race_ethnicity,group_identifier,tyrone jefferson,answer_info.ans2,16,16
Race_ethnicity,group_identifier,tyrone joseph,answer_info.ans0,16,16
Race_ethnicity,group_identifier,ahmed hosseini,answer_info.ans1,12,12
Race_ethnicity,group_identifier,ahmed hosseini,answer_info.ans2,12,12
Race_ethnicity,group_identifier,ahmed najafi,answer_info.ans0,12,12
Race_ethnicity,group_identifier,albert li,answer_info.ans0,12,12
Race_ethnicity,group_identifier,alex wang,answer_info.ans1,12,12
Race_ethnicity,group_identifier,alex wang,answer_info.ans2,12,12
Race_ethnicity,group_identifier,amina al-masri,answer_info.ans1,12,12
Race_ethnicity,group_identifier,amy huynh,answer_info.ans2,12,12
Race_ethnicity,group_identifier,annie chen,answer_info.ans1,12,12
Race_ethnicity,group_identifier,annie huang,answer_info.ans1,12,12
Race_ethnicity,group_identifier,ayanna banks,answer_info.ans1,12,12
Race_ethnicity,group_identifier,ayanna banks,answer_info.ans2,12,12
Race_ethnicity,group_identifier,ayanna williams,answer_info.ans2,12,12
Race_ethnicity,group_identifier,blanca guzman,answer_info.ans1,12,12
Race_ethnicity,group_identifier,blanca munoz,answer_info.ans1,12,12
Race_ethnicity,group_identifier,blanca vazquez,answer_info.ans0,12,12
Race_ethnicity,group_identifier,camila aguilar,answer_info.ans0,12,12
Race_ethnicity,group_identifier,camila soto,answer_info.ans0,12,12
Race_ethnicity,group_identifier,carlos hernandez,answer_info.ans1,12,12
Race_ethnicity,group_identifier,dan huynh,answer_info.ans1,12,12
Race_ethnicity,group_identifier,dan huynh,answer_info.ans2,12,12
Race_ethnicity,group_identifier,deshawn banks,answer_info.ans1,12,12
Race_ethnicity,group_identifier,deshawn coleman,answer_info.ans0,12,12
Race_ethnicity,group_identifier,donald snyder,answer_info.ans1,12,12
Race_ethnicity,group_identifier,ebony gaines,answer_info.ans1,12,12
Race_ethnicity,group_identifier,ebony gaines,answer_info.ans2,12,12
Race_ethnicity,group_identifier,ebony joseph,answer_info.ans2,12,12
Race_ethnicity,group_identifier,ebony roberson,answer_info.ans2,12,12
Race_ethnicity,group_identifier,ebony williams,answer_info.ans0,12,12
Race_ethnicity,group_identifier,ebony williams,answer_info.ans1,12,12
Race_ethnicity,group_identifier,eric huang,answer_info.ans1,12,12
Race_ethnicity,group_identifier,eric huang,answer_info.ans2,12,12
Race_ethnicity,group_identifier,esperanza rios,answer_info.ans0,12,12
Race_ethnicity,group_identifier,fatima al-fasi,answer_info.ans1,12,12
Race_ethnicity,group_identifier,francisco alvarado,answer_info.ans2,12,12
Race_ethnicity,group_identifier,francisco juarez,answer_info.ans2,12,12
Race_ethnicity,group_identifier,grace le,answer_info.ans0,12,12
Race_ethnicity,group_identifier,hamza hosseini,answer_info.ans1,12,12
Race_ethnicity,group_identifier,imani booker,answer_info.ans1,12,12
Race_ethnicity,group_identifier,ivory banks,answer_info.ans0,12,12
Race_ethnicity,group_identifier,ivory joseph,answer_info.ans1,12,12
Race_ethnicity,group_identifier,ivory joseph,answer_info.ans2,12,12
Race_ethnicity,group_identifier,jamal branch,answer_info.ans2,12,12
Race_ethnicity,group_identifier,jerry choi,answer_info.ans2,12,12
Race_ethnicity,group_identifier,jerry vang,answer_info.ans1,12,12
Race_ethnicity,group_identifier,jorge juarez,answer_info.ans2,12,12
Race_ethnicity,group_identifier,jose rodriguez,answer_info.ans0,12,12
Race_ethnicity,group_identifier,juan munoz,answer_info.ans1,12,12
Race_ethnicity,group_identifier,juana guzman,answer_info.ans0,12,12
Race_ethnicity,group_identifier,juana hernandez,answer_info.ans2,12,12
Race_ethnicity,group_identifier,kathleen obrien,answer_info.ans0,12,12
Race_ethnicity,group_identifier,kathleen ryan,answer_info.ans1,12,12
Race_ethnicity,group_identifier,khalid mahmoudi,answer_info.ans1,12,12
Race_ethnicity,group_identifier,khalid mahmoudi,answer_info.ans2,12,12
Race_ethnicity,group_identifier,khalil joseph,answer_info.ans0,12,12
Race_ethnicity,group_identifier,khalil joseph,answer_info.ans2,12,12
Race_ethnicity,group_identifier,latoya mosley,answer_info.ans1,12,12
Race_ethnicity,group_identifier,lori hoffman,answer_info.ans1,12,12
Race_ethnicity,group_identifier,mark obrien,answer_info.ans1,12,12
Race_ethnicity,group_identifier,maryam al-mutairi,answer_info.ans0,12,12
Race_ethnicity,group_identifier,maryam al-mutairi,answer_info.ans1,12,12
Race_ethnicity,group_identifier,maryam kassar,answer_info.ans0,12,12
Race_ethnicity,group_identifier,mayra munoz,answer_info.ans0,12,12
Race_ethnicity,group_identifier,mayra munoz,answer_info.ans2,12,12
Race_ethnicity,group_identifier,miguel alvarado,answer_info.ans1,12,12
Race_ethnicity,group_identifier,mohamed safadi,answer_info.ans2,12,12
Race_ethnicity,group_identifier,peter wu,answer_info.ans1,12,12
Race_ethnicity,group_identifier,queenie chen,answer_info.ans0,12,12
Race_ethnicity,group_identifier,queenie chen,answer_info.ans1,12,12
Race_ethnicity,group_identifier,queenie wang,answer_info.ans2,12,12
Race_ethnicity,group_identifier,rafael rojas,answer_info.ans0,12,12
Race_ethnicity,group_identifier,roosevelt banks,answer_info.ans1,12,12
Race_ethnicity,group_identifier,sam liu,answer_info.ans1,12,12
Race_ethnicity,group_identifier,sam liu,answer_info.ans2,12,12
Race_ethnicity,group_identifier,sam pham,answer_info.ans0,12,12
Race_ethnicity,group_identifier,sam yu,answer_info.ans0,12,12
Race_ethnicity,group_identifier,scott jensen,answer_info.ans0,12,12
Race_ethnicity,group_identifier,shanice williams,answer_info.ans0,12,12
Race_ethnicity,group_identifier,susan schultz,answer_info.ans2,12,12
Race_ethnicity,group_identifier,tamika coleman,answer_info.ans1,12,12
Race_ethnicity,group_identifier,tamika coleman,answer_info.ans2,12,12
Race_ethnicity,group_identifier,tamika singleton,answer_info.ans2,12,12
Race_ethnicity,group_identifier,tanisha dorsey,answer_info.ans1,12,12
Race_ethnicity,group_identifier,tanisha rivers,answer_info.ans0,12,12
Race_ethnicity,group_identifier,terrell charles,answer_info.ans0,12,12
Race_ethnicity,group_identifier,terrell mack,answer_info.ans0,12,12
Race_ethnicity,group_identifier,terrell mack,answer_info.ans2,12,12
Race_ethnicity,group_identifier,trevon jefferson,answer_info.ans0,12,12
Race_ethnicity,group_identifier,trevon jefferson,answer_info.ans2,12,12
Race_ethnicity,group_identifier,tyrone joseph,answer_info.ans1,12,12
Race_ethnicity,group_identifier,tyrone joseph,answer_info.ans2,12,12
Race_ethnicity,group_identifier,vicky pham,answer_info.ans1,12,12
Race_ethnicity,group_identifier,winnie le,answer_info.ans0,12,12
Race_ethnicity,group_identifier,yousouf boushaki,answer_info.ans0,12,12
Race_ethnicity,group_identifier,zahra al-zoubi,answer_info.ans0,12,12
Race_ethnicity,group_identifier,zeinab al-balushi,answer_info.ans1,12,12
Race_ethnicity,group_identifier,abdullah al-fasi,answer_info.ans1,8,8
Race_ethnicity,group_identifier,abdullah hosseini,answer_info.ans0,8,8
Race_ethnicity,group_identifier,abdullah hosseini,answer_info.ans2,8,8
Race_ethnicity,group_identifier,abdullah mughrabi,answer_info.ans0,8,8
Race_ethnicity,group_identifier,abdulrahman al-masri,answer_info.ans1,8,8
Race_ethnicity,group_identifier,abdulrahman kassar,answer_info.ans1,8,8
Race_ethnicity,group_identifier,ahmed khattab,answer_info.ans0,8,8
Race_ethnicity,group_identifier,alan le,answer_info.ans1,8,8
Race_ethnicity,group_identifier,alan li,answer_info.ans1,8,8
Race_ethnicity,group_identifier,alan lin,answer_info.ans1,8,8
Race_ethnicity,group_identifier,alan yu,answer_info.ans2,8,8
Race_ethnicity,group_identifier,albert kim,answer_info.ans2,8,8
Race_ethnicity,group_identifier,alejandra hernandez,answer_info.ans1,8,8
Race_ethnicity,group_identifier,alejandra mejia,answer_info.ans1,8,8
Race_ethnicity,group_identifier,alejandra munoz,answer_info.ans1,8,8
Race_ethnicity,group_identifier,alejandra rios,answer_info.ans0,8,8
Race_ethnicity,group_identifier,alejandra soto,answer_info.ans1,8,8
Race_ethnicity,group_identifier,alejandra vazquez,answer_info.ans0,8,8
Race_ethnicity,group_identifier,alex huynh,answer_info.ans0,8,8
Race_ethnicity,group_identifier,alex le,answer_info.ans0,8,8
Race_ethnicity,group_identifier,alex le,answer_info.ans1,8,8
Race_ethnicity,group_identifier,alex tran,answer_info.ans2,8,8
Race_ethnicity,group_identifier,ali safadi,answer_info.ans1,8,8
Race_ethnicity,group_identifier,amina al-balushi,answer_info.ans0,8,8
Race_ethnicity,group_identifier,amina najafi,answer_info.ans0,8,8
Race_ethnicity,group_identifier,amina najafi,answer_info.ans2,8,8
Race_ethnicity,group_identifier,amy jensen,answer_info.ans1,8,8
Race_ethnicity,group_identifier,amy keller,answer_info.ans0,8,8
Race_ethnicity,group_identifier,amy yu,answer_info.ans0,8,8
Race_ethnicity,group_identifier,andrea rios,answer_info.ans1,8,8
Race_ethnicity,group_identifier,anne schneider,answer_info.ans0,8,8
Race_ethnicity,group_identifier,annie chen,answer_info.ans2,8,8
Race_ethnicity,group_identifier,annie choi,answer_info.ans1,8,8
Race_ethnicity,group_identifier,annie ho,answer_info.ans1,8,8
Race_ethnicity,group_identifier,annie tran,answer_info.ans0,8,8
Race_ethnicity,group_identifier,ayanna jefferson,answer_info.ans1,8,8
Race_ethnicity,group_identifier,ayanna jefferson,answer_info.ans2,8,8
Race_ethnicity,group_identifier,blanca aguilar,answer_info.ans2,8,8
Race_ethnicity,group_identifier,blanca jimenez,answer_info.ans0,8,8
Race_ethnicity,group_identifier,blanca mejia,answer_info.ans1,8,8
Race_ethnicity,group_identifier,blanca rojas,answer_info.ans0,8,8
Race_ethnicity,group_identifier,brian carlson,answer_info.ans2,8,8
Race_ethnicity,group_identifier,brian jensen,answer_info.ans1,8,8
Race_ethnicity,group_identifier,brian jensen,answer_info.ans2,8,8
Race_ethnicity,group_identifier,brian johnston,answer_info.ans2,8,8
Race_ethnicity,group_identifier,brian olson,answer_info.ans0,8,8
Race_ethnicity,group_identifier,brian schmidt,answer_info.ans0,8,8
Race_ethnicity,group_identifier,brian schmidt,answer_info.ans2,8,8
Race_ethnicity,group_identifier,camila aguilar,answer_info.ans1,8,8
Race_ethnicity,group_identifier,camila gutierrez,answer_info.ans2,8,8
Race_ethnicity,group_identifier,camila hernandez,answer_info.ans1,8,8
Race_ethnicity,group_identifier,carlos hernandez,answer_info.ans2,8,8
Race_ethnicity,group_identifier,carlos juarez,answer_info.ans1,8,8
Race_ethnicity,group_identifier,dan choi,answer_info.ans2,8,8
Race_ethnicity,group_identifier,darnell ware,answer_info.ans0,8,8
Race_ethnicity,group_identifier,darnell ware,answer_info.ans1,8,8
Race_ethnicity,group_identifier,darnell ware,answer_info.ans2,8,8
Race_ethnicity,group_identifier,darnell williams,answer_info.ans0,8,8
Race_ethnicity,group_identifier,darnell williams,answer_info.ans2,8,8
Race_ethnicity,group_identifier,david chen,answer_info.ans1,8,8
Race_ethnicity,group_identifier,david ho,answer_info.ans1,8,8
Race_ethnicity,group_identifier,david huang,answer_info.ans2,8,8
Race_ethnicity,group_identifier,deshawn charles,answer_info.ans1,8,8
Race_ethnicity,group_identifier,donald carlson,answer_info.ans1,8,8
Race_ethnicity,group_identifier,donald olson,answer_info.ans1,8,8
Race_ethnicity,group_identifier,donald schultz,answer_info.ans1,8,8
Race_ethnicity,group_identifier,donald wagner,answer_info.ans2,8,8
Race_ethnicity,group_identifier,donna carlson,answer_info.ans2,8,8
Race_ethnicity,group_identifier,ebony charles,answer_info.ans1,8,8
Race_ethnicity,group_identifier,elaine chan,answer_info.ans2,8,8
Race_ethnicity,group_identifier,elaine choi,answer_info.ans2,8,8
Race_ethnicity,group_identifier,elaine ho,answer_info.ans0,8,8
Race_ethnicity,group_identifier,eric ho,answer_info.ans1,8,8
Race_ethnicity,group_identifier,eric ho,answer_info.ans2,8,8
Race_ethnicity,group_identifier,eric le,answer_info.ans1,8,8
Race_ethnicity,group_identifier,esperanza contreras,answer_info.ans0,8,8
Race_ethnicity,group_identifier,esperanza gonzalez,answer_info.ans0,8,8
Race_ethnicity,group_identifier,esperanza gonzalez,answer_info.ans1,8,8
Race_ethnicity,group_identifier,esperanza hernandez,answer_info.ans1,8,8
Race_ethnicity,group_identifier,esperanza rodriguez,answer_info.ans2,8,8
Race_ethnicity,group_identifier,fatima al-fasi,answer_info.ans0,8,8
Race_ethnicity,group_identifier,fatima badawi,answer_info.ans1,8,8
Race_ethnicity,group_identifier,fatima mughrabi,answer_info.ans0,8,8
Race_ethnicity,group_identifier,fatima shakir,answer_info.ans1,8,8
Race_ethnicity,group_identifier,francisco alvarado,answer_info.ans1,8,8
Race_ethnicity,group_identifier,francisco hernandez,answer_info.ans0,8,8
Race_ethnicity,group_identifier,gary meyer,answer_info.ans2,8,8
Race_ethnicity,group_identifier,grace chan,answer_info.ans1,8,8
Race_ethnicity,group_identifier,grace huynh,answer_info.ans1,8,8
Race_ethnicity,group_identifier,grace zhang,answer_info.ans2,8,8
Race_ethnicity,group_identifier,graciela juarez,answer_info.ans0,8,8
Race_ethnicity,group_identifier,graciela maldonado,answer_info.ans2,8,8
Race_ethnicity,group_identifier,graciela ramirez,answer_info.ans1,8,8
Race_ethnicity,group_identifier,graciela rojas,answer_info.ans2,8,8
Race_ethnicity,group_identifier,guadalupe aguilar,answer_info.ans1,8,8
Race_ethnicity,group_identifier,guadalupe aguilar,answer_info.ans2,8,8
Race_ethnicity,group_identifier,guadalupe hernandez,answer_info.ans2,8,8
Race_ethnicity,group_identifier,guadalupe soto,answer_info.ans0,8,8
Race_ethnicity,group_identifier,guadalupe soto,answer_info.ans2,8,8
Race_ethnicity,group_identifier,guadalupe vazquez,answer_info.ans0,8,8
Race_ethnicity,group_identifier,hamza mughrabi,answer_info.ans1,8,8
Race_ethnicity,group_identifier,heather hansen,answer_info.ans0,8,8
Race_ethnicity,group_identifier,heather jensen,answer_info.ans1,8,8
Race_ethnicity,group_identifier,heather johnston,answer_info.ans1,8,8
Race_ethnicity,group_identifier,heather keller,answer_info.ans1,8,8
Race_ethnicity,group_identifier,heather keller,answer_info.ans2,8,8
Race_ethnicity,group_identifier,hussein al-fasi,answer_info.ans0,8,8
Race_ethnicity,group_identifier,hussein qureshi,answer_info.ans0,8,8
Race_ethnicity,group_identifier,imani booker,answer_info.ans2,8,8
Race_ethnicity,group_identifier,imani mosley,answer_info.ans1,8,8
Race_ethnicity,group_identifier,imani singleton,answer_info.ans2,8,8
Race_ethnicity,group_identifier,ivory booker,answer_info.ans1,8,8
Race_ethnicity,group_identifier,ivory jackson,answer_info.ans0,8,8
Race_ethnicity,group_identifier,ivory mack,answer_info.ans1,8,8
Race_ethnicity,group_identifier,ivory roberson,answer_info.ans1,8,8
Race_ethnicity,group_identifier,ivory robinson,answer_info.ans1,8,8
Race_ethnicity,group_identifier,jamal branch,answer_info.ans1,8,8
Race_ethnicity,group_identifier,jamal singleton,answer_info.ans2,8,8
Race_ethnicity,group_identifier,jeffrey olson,answer_info.ans0,8,8
Race_ethnicity,group_identifier,jeffrey olson,answer_info.ans2,8,8
Race_ethnicity,group_identifier,jeffrey walsh,answer_info.ans1,8,8
Race_ethnicity,group_identifier,jenny huynh,answer_info.ans1,8,8
Race_ethnicity,group_identifier,jenny nguyen,answer_info.ans2,8,8
Race_ethnicity,group_identifier,jenny tran,answer_info.ans0,8,8
Race_ethnicity,group_identifier,jermaine washington,answer_info.ans2,8,8
Race_ethnicity,group_identifier,jesus espinoza,answer_info.ans0,8,8
Race_ethnicity,group_identifier,jesus hernandez,answer_info.ans1,8,8
Race_ethnicity,group_identifier,joanna kim,answer_info.ans0,8,8
Race_ethnicity,group_identifier,joanna kim,answer_info.ans1,8,8
Race_ethnicity,group_identifier,jorge jimenez,answer_info.ans0,8,8
Race_ethnicity,group_identifier,jorge juarez,answer_info.ans0,8,8
Race_ethnicity,group_identifier,jorge mejia,answer_info.ans2,8,8
Race_ethnicity,group_identifier,jose contreras,answer_info.ans1,8,8
Race_ethnicity,group_identifier,jose hernandez,answer_info.ans1,8,8
Race_ethnicity,group_identifier,jose vazquez,answer_info.ans2,8,8
Race_ethnicity,group_identifier,juan espinoza,answer_info.ans0,8,8
Race_ethnicity,group_identifier,juan gonzalez,answer_info.ans1,8,8
Race_ethnicity,group_identifier,juan gutierrez,answer_info.ans0,8,8
Race_ethnicity,group_identifier,juan gutierrez,answer_info.ans1,8,8
Race_ethnicity,group_identifier,juan munoz,answer_info.ans2,8,8
Race_ethnicity,group_identifier,juana aguilar,answer_info.ans0,8,8
Race_ethnicity,group_identifier,juana contreras,answer_info.ans0,8,8
Race_ethnicity,group_identifier,juana contreras,answer_info.ans2,8,8
Race_ethnicity,group_identifier,juana gonzalez,answer_info.ans0,8,8
Race_ethnicity,group_identifier,julie hoffman,answer_info.ans0,8,8
Race_ethnicity,group_identifier,julie hoffman,answer_info.ans1,8,8
Race_ethnicity,group_identifier,julie johnston,answer_info.ans0,8,8
Race_ethnicity,group_identifier,julie walsh,answer_info.ans0,8,8
Race_ethnicity,group_identifier,kathleen jensen,answer_info.ans0,8,8
Race_ethnicity,group_identifier,kathleen schneider,answer_info.ans0,8,8
Race_ethnicity,group_identifier,kathleen schultz,answer_info.ans0,8,8
Race_ethnicity,group_identifier,kathleen schwartz,answer_info.ans0,8,8
Race_ethnicity,group_identifier,kelly jensen,answer_info.ans0,8,8
Race_ethnicity,group_identifier,kelly jensen,answer_info.ans2,8,8
Race_ethnicity,group_identifier,kelly snyder,answer_info.ans1,8,8
Race_ethnicity,group_identifier,khalid el-solh,answer_info.ans2,8,8
Race_ethnicity,group_identifier,khalid hosseini,answer_info.ans0,8,8
Race_ethnicity,group_identifier,khalid kassar,answer_info.ans1,8,8
Race_ethnicity,group_identifier,khalil coleman,answer_info.ans1,8,8
Race_ethnicity,group_identifier,khalil harris,answer_info.ans0,8,8
Race_ethnicity,group_identifier,latasha coleman,answer_info.ans0,8,8
Race_ethnicity,group_identifier,latasha robinson,answer_info.ans1,8,8
Race_ethnicity,group_identifier,latasha williams,answer_info.ans1,8,8
Race_ethnicity,group_identifier,latina,answer_info.ans1,8,8
Race_ethnicity,group_identifier,lori carlson,answer_info.ans0,8,8
Race_ethnicity,group_identifier,lori meyer,answer_info.ans0,8,8
Race_ethnicity,group_identifier,lori meyer,answer_info.ans1,8,8
Race_ethnicity,group_identifier,lori walsh,answer_info.ans0,8,8
Race_ethnicity,group_identifier,luis espinoza,answer_info.ans2,8,8
Race_ethnicity,group_identifier,luis juarez,answer_info.ans2,8,8
Race_ethnicity,group_identifier,luis rodriguez,answer_info.ans0,8,8
Race_ethnicity,group_identifier,malachi jefferson,answer_info.ans1,8,8
Race_ethnicity,group_identifier,maribel jimenez,answer_info.ans0,8,8
Race_ethnicity,group_identifier,maribel rojas,answer_info.ans0,8,8
Race_ethnicity,group_identifier,mark schwartz,answer_info.ans2,8,8
Race_ethnicity,group_identifier,mark wagner,answer_info.ans2,8,8
Race_ethnicity,group_identifier,mark walsh,answer_info.ans1,8,8
Race_ethnicity,group_identifier,maryam al-balushi,answer_info.ans1,8,8
Race_ethnicity,group_identifier,maryam al-zoubi,answer_info.ans2,8,8
Race_ethnicity,group_identifier,maryam badawi,answer_info.ans0,8,8
Race_ethnicity,group_identifier,matthew larson,answer_info.ans0,8,8
Race_ethnicity,group_identifier,matthew snyder,answer_info.ans0,8,8
Race_ethnicity,group_identifier,mayra ramirez,answer_info.ans2,8,8
Race_ethnicity,group_identifier,miguel alvarado,answer_info.ans2,8,8
Race_ethnicity,group_identifier,mohamed khattab,answer_info.ans2,8,8
Race_ethnicity,group_identifier,mohamed sahraoui,answer_info.ans1,8,8
Race_ethnicity,group_identifier,mohamed sahraoui,answer_info.ans2,8,8
Race_ethnicity,group_identifier,nia dorsey,answer_info.ans0,8,8
Race_ethnicity,group_identifier,nia dorsey,answer_info.ans1,8,8
Race_ethnicity,group_identifier,nia gaines,answer_info.ans0,8,8
Race_ethnicity,group_identifier,nia washington,answer_info.ans0,8,8
Race_ethnicity,group_identifier,noor al-balushi,answer_info.ans0,8,8
Race_ethnicity,group_identifier,noor el-solh,answer_info.ans2,8,8
Race_ethnicity,group_identifier,noor qureshi,answer_info.ans0,8,8
Race_ethnicity,group_identifier,omar al-balushi,answer_info.ans0,8,8
Race_ethnicity,group_identifier,omar el-solh,answer_info.ans1,8,8
Race_ethnicity,group_identifier,omar qureshi,answer_info.ans2,8,8
Race_ethnicity,group_identifier,peter ho,answer_info.ans0,8,8
Race_ethnicity,group_identifier,queenie le,answer_info.ans0,8,8
Race_ethnicity,group_identifier,queenie tran,answer_info.ans0,8,8
Race_ethnicity,group_identifier,queenie vang,answer_info.ans1,8,8
Race_ethnicity,group_identifier,queenie wang,answer_info.ans1,8,8
Race_ethnicity,group_identifier,rafael guzman,answer_info.ans2,8,8
Race_ethnicity,group_identifier,rafael mejia,answer_info.ans1,8,8
Race_ethnicity,group_identifier,reem hosseini,answer_info.ans1,8,8
Race_ethnicity,group_identifier,reem mughrabi,answer_info.ans2,8,8
Race_ethnicity,group_identifier,roberto jimenez,answer_info.ans2,8,8
Race_ethnicity,group_identifier,roberto rios,answer_info.ans0,8,8
Race_ethnicity,group_identifier,roosevelt banks,answer_info.ans2,8,8
Race_ethnicity,group_identifier,roosevelt mosley,answer_info.ans0,8,8
Race_ethnicity,group_identifier,salma al-fasi,answer_info.ans0,8,8
Race_ethnicity,group_identifier,salma al-fasi,answer_info.ans1,8,8
Race_ethnicity,group_identifier,salma mahmoudi,answer_info.ans0,8,8
Race_ethnicity,group_identifier,salma najafi,answer_info.ans1,8,8
Race_ethnicity,group_identifier,salma qureshi,answer_info.ans2,8,8
Race_ethnicity,group_identifier,salma safadi,answer_info.ans1,8,8
Race_ethnicity,group_identifier,salma wardak,answer_info.ans1,8,8
Race_ethnicity,group_identifier,sam vang,answer_info.ans1,8,8
Race_ethnicity,group_identifier,scott hansen,answer_info.ans2,8,8
Race_ethnicity,group_identifier,scott schultz,answer_info.ans2,8,8
Race_ethnicity,group_identifier,shanice robinson,answer_info.ans0,8,8
Race_ethnicity,group_identifier,shanice robinson,answer_info.ans1,8,8
Race_ethnicity,group_identifier,shanice washington,answer_info.ans2,8,8
Race_ethnicity,group_identifier,shanice williams,answer_info.ans2,8,8
Race_ethnicity,group_identifier,shannon larson,answer_info.ans1,8,8
Race_ethnicity,group_identifier,shannon meyer,answer_info.ans0,8,8
Race_ethnicity,group_identifier,shannon ryan,answer_info.ans0,8,8
Race_ethnicity,group_identifier,shannon ryan,answer_info.ans1,8,8
Race_ethnicity,group_identifier,shannon ryan,answer_info.ans2,8,8
Race_ethnicity,group_identifier,steven schultz,answer_info.ans0,8,8
Race_ethnicity,group_identifier,steven schultz,answer_info.ans2,8,8
Race_ethnicity,group_identifier,steven schwartz,answer_info.ans1,8,8
Race_ethnicity,group_identifier,steven wagner,answer_info.ans1,8,8
Race_ethnicity,group_identifier,susan hanson,answer_info.ans0,8,8
Race_ethnicity,group_identifier,susan jensen,answer_info.ans2,8,8
Race_ethnicity,group_identifier,susan johnston,answer_info.ans0,8,8
Race_ethnicity,group_identifier,susan johnston,answer_info.ans1,8,8
Race_ethnicity,group_identifier,susan meyer,answer_info.ans1,8,8
Race_ethnicity,group_identifier,susan ryan,answer_info.ans2,8,8
Race_ethnicity,group_identifier,susan schmidt,answer_info.ans1,8,8
Race_ethnicity,group_identifier,susan walsh,answer_info.ans0,8,8
Race_ethnicity,group_identifier,tala al-mutairi,answer_info.ans2,8,8
Race_ethnicity,group_identifier,tala badawi,answer_info.ans1,8,8
Race_ethnicity,group_identifier,tala el-solh,answer_info.ans1,8,8
Race_ethnicity,group_identifier,tala sahraoui,answer_info.ans2,8,8
Race_ethnicity,group_identifier,tamika jackson,answer_info.ans2,8,8
Race_ethnicity,group_identifier,tamika singleton,answer_info.ans1,8,8
Race_ethnicity,group_identifier,tanisha banks,answer_info.ans1,8,8
Race_ethnicity,group_identifier,tanisha dorsey,answer_info.ans2,8,8
Race_ethnicity,group_identifier,tanisha harris,answer_info.ans1,8,8
Race_ethnicity,group_identifier,tanisha jackson,answer_info.ans0,8,8
Race_ethnicity,group_identifier,tanisha jefferson,answer_info.ans0,8,8
Race_ethnicity,group_identifier,tanisha rivers,answer_info.ans1,8,8
Race_ethnicity,group_identifier,terrell charles,answer_info.ans2,8,8
Race_ethnicity,group_identifier,thalia el-solh,answer_info.ans2,8,8
Race_ethnicity,group_identifier,thalia mughrabi,answer_info.ans0,8,8
Race_ethnicity,group_identifier,thomas carlson,answer_info.ans0,8,8
Race_ethnicity,group_identifier,thomas meyer,answer_info.ans2,8,8
Race_ethnicity,group_identifier,thomas snyder,answer_info.ans2,8,8
Race_ethnicity,group_identifier,timothy ryan,answer_info.ans2,8,8
Race_ethnicity,group_identifier,timothy schwartz,answer_info.ans2,8,8
Race_ethnicity,group_identifier,trevon washington,answer_info.ans0,8,8
Race_ethnicity,group_identifier,tyrone harris,answer_info.ans1,8,8
Race_ethnicity,group_identifier,tyrone jefferson,answer_info.ans0,8,8
Race_ethnicity,group_identifier,tyrone williams,answer_info.ans2,8,8
Race_ethnicity,group_identifier,vicky chen,answer_info.ans1,8,8
Race_ethnicity,group_identifier,vicky le,answer_info.ans0,8,8
Race_ethnicity,group_identifier,vicky le,answer_info.ans1,8,8
Race_ethnicity,group_identifier,vivian huang,answer_info.ans0,8,8
Race_ethnicity,group_identifier,vivian pham,answer_info.ans0,8,8
Race_ethnicity,group_identifier,yousouf al-balushi,answer_info.ans2,8,8
Race_ethnicity,group_identifier,zahra el-solh,answer_info.ans1,8,8
Race_ethnicity,group_identifier,zahra hosseini,answer_info.ans0,8,8
Race_ethnicity,group_identifier,zahra sahraoui,answer_info.ans0,8,8
Race_ethnicity,group_identifier,zahra shakir,answer_info.ans0,8,8
Race_ethnicity,group_identifier,zeinab al-balushi,answer_info.ans0,8,8
Race_ethnicity,group_identifier,zeinab al-masri,answer_info.ans0,8,8
Race_ethnicity,group_identifier,zeinab kassar,answer_info.ans0,8,8
Race_ethnicity,group_identifier,zeinab qureshi,answer_info.ans2,8,8
Race_ethnicity,group_identifier,zeinab safadi,answer_info.ans0,8,8
Race_ethnicity,group_identifier,abdullah al-masri,answer_info.ans1,4,4
Race_ethnicity,group_identifier,abdullah al-masri,answer_info.ans2,4,4
Race_ethnicity,group_identifier,abdullah kassar,answer_info.ans0,4,4
Race_ethnicity,group_identifier,abdullah kassar,answer_info.ans1,4,4
Race_ethnicity,group_identifier,abdullah najafi,answer_info.ans0,4,4
Race_ethnicity,group_identifier,abdullah najafi,answer_info.ans2,4,4
Race_ethnicity,group_identifier,abdullah safadi,answer_info.ans0,4,4
Race_ethnicity,group_identifier,abdullah safadi,answer_info.ans2,4,4
Race_ethnicity,group_identifier,abdullah tamimi,answer_info.ans1,4,4
Race_ethnicity,group_identifier,abdullah tamimi,answer_info.ans2,4,4
Race_ethnicity,group_identifier,abdulrahman hosseini,answer_info.ans1,4,4
Race_ethnicity,group_identifier,abdulrahman hosseini,answer_info.ans2,4,4
